cheap_seed,lambda,heldout,variant_label,method,utility,route_rate,n
1,0.02,block3_h36_seed13,"3-block, H=36",cheap,0.8508557457212714,0.0,409
1,0.02,block3_h36_seed13,"3-block, H=36",full,0.8088508557457214,1.0,409
1,0.02,block3_h36_seed13,"3-block, H=36",oracle,0.88679706601467,0.03667481662591687,409
1,0.02,block3_h36_seed13,"3-block, H=36",confidence,0.8505623471882641,0.13691931540342298,409
1,0.02,block3_h36_seed13,"3-block, H=36",context_cls,0.8571149144254279,0.05378973105134474,409
1,0.02,block3_h36_seed13,"3-block, H=36",knn_context,0.8656723716381418,0.11491442542787286,409
1,0.02,block3_h36_seed13,"3-block, H=36",rh_context,0.86,0.03178484107579462,409
1,0.02,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.8535452322738387,0.1100244498777506,409
1,0.02,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.8594621026894865,0.05867970660146699,409
1,0.05,block3_h36_seed13,"3-block, H=36",cheap,0.8508557457212714,0.0,409
1,0.05,block3_h36_seed13,"3-block, H=36",full,0.7788508557457212,1.0,409
1,0.05,block3_h36_seed13,"3-block, H=36",oracle,0.8856968215158925,0.03667481662591687,409
1,0.05,block3_h36_seed13,"3-block, H=36",confidence,0.8508557457212714,0.0,409
1,0.05,block3_h36_seed13,"3-block, H=36",context_cls,0.8555012224938875,0.05378973105134474,409
1,0.05,block3_h36_seed13,"3-block, H=36",knn_context,0.8622249388753056,0.11491442542787286,409
1,0.05,block3_h36_seed13,"3-block, H=36",rh_context,0.8590464547677261,0.03178484107579462,409
1,0.05,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.8502444987775061,0.1100244498777506,409
1,0.05,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.8614914425427872,0.08068459657701711,409
1,0.1,block3_h36_seed13,"3-block, H=36",cheap,0.8508557457212714,0.0,409
1,0.1,block3_h36_seed13,"3-block, H=36",full,0.7288508557457215,1.0,409
1,0.1,block3_h36_seed13,"3-block, H=36",oracle,0.8838630806845966,0.03667481662591687,409
1,0.1,block3_h36_seed13,"3-block, H=36",confidence,0.8508557457212714,0.0,409
1,0.1,block3_h36_seed13,"3-block, H=36",context_cls,0.8574572127139365,0.03178484107579462,409
1,0.1,block3_h36_seed13,"3-block, H=36",knn_context,0.856479217603912,0.11491442542787286,409
1,0.1,block3_h36_seed13,"3-block, H=36",rh_context,0.8584352078239608,0.022004889975550123,409
1,0.1,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.8530562347188263,0.05134474327628362,409
1,0.1,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.8552567237163813,0.05378973105134474,409
1,0.2,block3_h36_seed13,"3-block, H=36",cheap,0.8508557457212714,0.0,409
1,0.2,block3_h36_seed13,"3-block, H=36",full,0.6288508557457212,1.0,409
1,0.2,block3_h36_seed13,"3-block, H=36",oracle,0.8801955990220048,0.03667481662591687,409
1,0.2,block3_h36_seed13,"3-block, H=36",confidence,0.8508557457212714,0.0,409
1,0.2,block3_h36_seed13,"3-block, H=36",context_cls,0.8523227383863081,0.017114914425427872,409
1,0.2,block3_h36_seed13,"3-block, H=36",knn_context,0.8552567237163813,0.014669926650366748,409
1,0.2,block3_h36_seed13,"3-block, H=36",rh_context,0.8562347188264059,0.022004889975550123,409
1,0.2,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.847921760391198,0.05134474327628362,409
1,0.2,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.8508557457212714,0.0,409
1,0.3,block3_h36_seed13,"3-block, H=36",cheap,0.8508557457212714,0.0,409
1,0.3,block3_h36_seed13,"3-block, H=36",full,0.5288508557457213,1.0,409
1,0.3,block3_h36_seed13,"3-block, H=36",oracle,0.8765281173594132,0.03667481662591687,409
1,0.3,block3_h36_seed13,"3-block, H=36",confidence,0.8508557457212714,0.0,409
1,0.3,block3_h36_seed13,"3-block, H=36",context_cls,0.8506112469437652,0.017114914425427872,409
1,0.3,block3_h36_seed13,"3-block, H=36",knn_context,0.8508557457212714,0.0,409
1,0.3,block3_h36_seed13,"3-block, H=36",rh_context,0.850122249388753,0.0024449877750611247,409
1,0.3,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.8508557457212714,0.0,409
1,0.3,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.8508557457212714,0.0,409
1,0.5,block3_h36_seed13,"3-block, H=36",cheap,0.8508557457212714,0.0,409
1,0.5,block3_h36_seed13,"3-block, H=36",full,0.32885085574572126,1.0,409
1,0.5,block3_h36_seed13,"3-block, H=36",oracle,0.8691931540342298,0.03667481662591687,409
1,0.5,block3_h36_seed13,"3-block, H=36",confidence,0.8508557457212714,0.0,409
1,0.5,block3_h36_seed13,"3-block, H=36",context_cls,0.8533007334963325,0.004889975550122249,409
1,0.5,block3_h36_seed13,"3-block, H=36",knn_context,0.8508557457212714,0.0,409
1,0.5,block3_h36_seed13,"3-block, H=36",rh_context,0.8484107579462102,0.009779951100244499,409
1,0.5,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.8508557457212714,0.0,409
1,0.5,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.8508557457212714,0.0,409
1,0.02,block3_h48_seed10,"3-block, H=48",cheap,0.8855721393034826,0.0,402
1,0.02,block3_h48_seed10,"3-block, H=48",full,0.8207960199004976,1.0,402
1,0.02,block3_h48_seed10,"3-block, H=48",oracle,0.9148258706467661,0.029850746268656716,402
1,0.02,block3_h48_seed10,"3-block, H=48",confidence,0.8703980099502487,0.13681592039800994,402
1,0.02,block3_h48_seed10,"3-block, H=48",context_cls,0.8866169154228856,0.07213930348258707,402
1,0.02,block3_h48_seed10,"3-block, H=48",knn_context,0.8802985074626866,0.13930348258706468,402
1,0.02,block3_h48_seed10,"3-block, H=48",rh_context,0.8687562189054726,0.21890547263681592,402
1,0.02,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.88,0.15422885572139303,402
1,0.02,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8807462686567165,0.11691542288557213,402
1,0.05,block3_h48_seed10,"3-block, H=48",cheap,0.8855721393034826,0.0,402
1,0.05,block3_h48_seed10,"3-block, H=48",full,0.7907960199004974,1.0,402
1,0.05,block3_h48_seed10,"3-block, H=48",oracle,0.9139303482587064,0.029850746268656716,402
1,0.05,block3_h48_seed10,"3-block, H=48",confidence,0.8662935323383084,0.13681592039800994,402
1,0.05,block3_h48_seed10,"3-block, H=48",context_cls,0.884452736318408,0.07213930348258707,402
1,0.05,block3_h48_seed10,"3-block, H=48",knn_context,0.8761194029850746,0.13930348258706468,402
1,0.05,block3_h48_seed10,"3-block, H=48",rh_context,0.881592039800995,0.07960199004975124,402
1,0.05,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8753731343283582,0.15422885572139303,402
1,0.05,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8779850746268656,0.10199004975124377,402
1,0.1,block3_h48_seed10,"3-block, H=48",cheap,0.8855721393034826,0.0,402
1,0.1,block3_h48_seed10,"3-block, H=48",full,0.7407960199004977,1.0,402
1,0.1,block3_h48_seed10,"3-block, H=48",oracle,0.9124378109452735,0.029850746268656716,402
1,0.1,block3_h48_seed10,"3-block, H=48",confidence,0.8855721393034826,0.0,402
1,0.1,block3_h48_seed10,"3-block, H=48",context_cls,0.8808457711442786,0.07213930348258707,402
1,0.1,block3_h48_seed10,"3-block, H=48",knn_context,0.8691542288557214,0.13930348258706468,402
1,0.1,block3_h48_seed10,"3-block, H=48",rh_context,0.8776119402985075,0.07960199004975124,402
1,0.1,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8664179104477612,0.09203980099502487,402
1,0.1,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8728855721393036,0.10199004975124377,402
1,0.2,block3_h48_seed10,"3-block, H=48",cheap,0.8855721393034826,0.0,402
1,0.2,block3_h48_seed10,"3-block, H=48",full,0.6407960199004974,1.0,402
1,0.2,block3_h48_seed10,"3-block, H=48",oracle,0.9094527363184081,0.029850746268656716,402
1,0.2,block3_h48_seed10,"3-block, H=48",confidence,0.8855721393034826,0.0,402
1,0.2,block3_h48_seed10,"3-block, H=48",context_cls,0.8791044776119402,0.04477611940298507,402
1,0.2,block3_h48_seed10,"3-block, H=48",knn_context,0.8885572139303483,0.03482587064676617,402
1,0.2,block3_h48_seed10,"3-block, H=48",rh_context,0.8870646766169155,0.029850746268656716,402
1,0.2,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8791044776119402,0.03233830845771144,402
1,0.2,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8800995024875622,0.02736318407960199,402
1,0.3,block3_h48_seed10,"3-block, H=48",cheap,0.8855721393034826,0.0,402
1,0.3,block3_h48_seed10,"3-block, H=48",full,0.5407960199004976,1.0,402
1,0.3,block3_h48_seed10,"3-block, H=48",oracle,0.9064676616915422,0.029850746268656716,402
1,0.3,block3_h48_seed10,"3-block, H=48",confidence,0.8855721393034826,0.0,402
1,0.3,block3_h48_seed10,"3-block, H=48",context_cls,0.8746268656716418,0.04477611940298507,402
1,0.3,block3_h48_seed10,"3-block, H=48",knn_context,0.8850746268656716,0.03482587064676617,402
1,0.3,block3_h48_seed10,"3-block, H=48",rh_context,0.8840796019900496,0.029850746268656716,402
1,0.3,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8758706467661692,0.03233830845771144,402
1,0.3,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8813432835820896,0.022388059701492536,402
1,0.5,block3_h48_seed10,"3-block, H=48",cheap,0.8855721393034826,0.0,402
1,0.5,block3_h48_seed10,"3-block, H=48",full,0.3407960199004975,1.0,402
1,0.5,block3_h48_seed10,"3-block, H=48",oracle,0.900497512437811,0.029850746268656716,402
1,0.5,block3_h48_seed10,"3-block, H=48",confidence,0.8855721393034826,0.0,402
1,0.5,block3_h48_seed10,"3-block, H=48",context_cls,0.8768656716417911,0.03233830845771144,402
1,0.5,block3_h48_seed10,"3-block, H=48",knn_context,0.8855721393034826,0.0,402
1,0.5,block3_h48_seed10,"3-block, H=48",rh_context,0.8855721393034826,0.0,402
1,0.5,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8855721393034826,0.0,402
1,0.5,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8855721393034826,0.0,402
1,0.02,block3_h72_seed14,"3-block, H=72",cheap,0.8498789346246973,0.0,413
1,0.02,block3_h72_seed14,"3-block, H=72",full,0.7984019370460052,1.0,413
1,0.02,block3_h72_seed14,"3-block, H=72",oracle,0.9092009685230025,0.06053268765133172,413
1,0.02,block3_h72_seed14,"3-block, H=72",confidence,0.8388377723970944,0.06779661016949153,413
1,0.02,block3_h72_seed14,"3-block, H=72",context_cls,0.8373365617433415,0.021791767554479417,413
1,0.02,block3_h72_seed14,"3-block, H=72",knn_context,0.8498305084745763,0.1234866828087167,413
1,0.02,block3_h72_seed14,"3-block, H=72",rh_context,0.8588861985472156,0.03389830508474576,413
1,0.02,block3_h72_seed14,"3-block, H=72",knn_context_latent,0.8477966101694916,0.10411622276029056,413
1,0.02,block3_h72_seed14,"3-block, H=72",rh_context_latent,0.8477966101694916,0.10411622276029056,413
1,0.05,block3_h72_seed14,"3-block, H=72",cheap,0.8498789346246973,0.0,413
1,0.05,block3_h72_seed14,"3-block, H=72",full,0.7684019370460048,1.0,413
1,0.05,block3_h72_seed14,"3-block, H=72",oracle,0.9073849878934624,0.06053268765133172,413
1,0.05,block3_h72_seed14,"3-block, H=72",confidence,0.8368038740920097,0.06779661016949153,413
1,0.05,block3_h72_seed14,"3-block, H=72",context_cls,0.8366828087167071,0.021791767554479417,413
1,0.05,block3_h72_seed14,"3-block, H=72",knn_context,0.8461259079903147,0.1234866828087167,413
1,0.05,block3_h72_seed14,"3-block, H=72",rh_context,0.8578692493946731,0.03389830508474576,413
