lambda,heldout,variant_label,method,utility_mean,utility_std,route_rate_mean,route_rate_std,n
0.5,block3_h36_seed13,"3-block, H=36",cheap,0.8687856560717196,0.02497400724701637,0.0,0.0,409
0.5,block3_h36_seed13,"3-block, H=36",confidence,0.8687856560717196,0.02497400724701637,0.0,0.0,409
0.5,block3_h36_seed13,"3-block, H=36",context_cls,0.8630806845965769,0.01800845948979985,0.011409942950285247,0.006153084299324164,409
0.5,block3_h36_seed13,"3-block, H=36",full,0.32885085574572126,0.0,1.0,0.0,409
0.5,block3_h36_seed13,"3-block, H=36",knn_context,0.8687856560717196,0.02497400724701637,0.0,0.0,409
0.5,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.8626731866340669,0.01839166111882118,0.020374898125509373,0.0180222855643814,409
0.5,block3_h36_seed13,"3-block, H=36",oracle,0.8875305623471883,0.027634852213832037,0.037489812550937245,0.006153084299324168,409
0.5,block3_h36_seed13,"3-block, H=36",rh_context,0.8679706601466992,0.025875318445619456,0.0032599837000814994,0.005646457400387538,409
0.5,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.8647106764466178,0.017129461741633045,0.009779951100244499,0.01487228002517902,409
0.5,block3_h48_seed10,"3-block, H=48",cheap,0.867330016583748,0.01656300526984926,0.0,0.0,402
0.5,block3_h48_seed10,"3-block, H=48",confidence,0.867330016583748,0.01656300526984926,0.0,0.0,402
0.5,block3_h48_seed10,"3-block, H=48",context_cls,0.849502487562189,0.02398918099749491,0.04228855721393035,0.009950248756218907,402
0.5,block3_h48_seed10,"3-block, H=48",full,0.3407960199004975,0.0,1.0,0.0,402
0.5,block3_h48_seed10,"3-block, H=48",knn_context,0.8644278606965173,0.018322039630169464,0.007462686567164179,0.012925752295290128,402
0.5,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8656716417910447,0.018322039630169432,0.009950248756218905,0.011399442027253332,402
0.5,block3_h48_seed10,"3-block, H=48",oracle,0.8897180762852406,0.0093352655465984,0.04477611940298507,0.016312036130104478,402
0.5,block3_h48_seed10,"3-block, H=48",rh_context,0.867330016583748,0.01656300526984926,0.0,0.0,402
0.5,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8677446102819237,0.016041079703277873,0.004145936981757877,0.0037998140090844445,402
0.5,block3_h72_seed14,"3-block, H=72",cheap,0.7917675544794189,0.05935908315802068,0.0,0.0,413
0.5,block3_h72_seed14,"3-block, H=72",confidence,0.7917675544794189,0.05935908315802068,0.0,0.0,413
0.5,block3_h72_seed14,"3-block, H=72",context_cls,0.777643260694108,0.07030483613240204,0.04600484261501211,0.04600484261501211,413
0.5,block3_h72_seed14,"3-block, H=72",full,0.31840193704600483,0.0,1.0,0.0,413
0.5,block3_h72_seed14,"3-block, H=72",knn_context,0.7917675544794189,0.05872606700065328,0.0032284100080710253,0.003698608309084617,413
0.5,block3_h72_seed14,"3-block, H=72",knn_context_latent,0.7885391444713479,0.06435092579589231,0.019370460048426148,0.02562471003452388,413
0.5,block3_h72_seed14,"3-block, H=72",oracle,0.8434221146085553,0.03381894318893186,0.10330912025827281,0.05448390260447997,413
0.5,block3_h72_seed14,"3-block, H=72",rh_context,0.7921711057304277,0.05874270328059059,0.0008071025020177563,0.001397942540410716,413
0.5,block3_h72_seed14,"3-block, H=72",rh_context_latent,0.7917675544794189,0.05935908315802068,0.0,0.0,413
