lambda,heldout,variant_label,cheap,full,oracle,oracle_route,conf,conf_route,context_cls,context_cls_route,router,feature_set,util,route,k,rule
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.32885085574572126,0.9193154034229829,0.044009779951100246,0.8973105134474327,0.0,0.8838630806845966,0.012224938875305624,rescue_harm,margin,0.8801955990220048,0.014669926650366748,100,"thr=0.2900,cap=0.0500"
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.32885085574572126,0.9193154034229829,0.044009779951100246,0.8973105134474327,0.0,0.8838630806845966,0.012224938875305624,knn_gain,context,0.8973105134474327,0.0,15,gain_threshold
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.32885085574572126,0.9193154034229829,0.044009779951100246,0.8973105134474327,0.0,0.8838630806845966,0.012224938875305624,rescue_harm,context,0.8973105134474327,0.0,25,"thr=0.5000,cap=0.0000"
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.32885085574572126,0.9193154034229829,0.044009779951100246,0.8973105134474327,0.0,0.8838630806845966,0.012224938875305624,knn_gain,latent_only,0.8960880195599022,0.0024449877750611247,15,tuned_threshold
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.32885085574572126,0.9193154034229829,0.044009779951100246,0.8973105134474327,0.0,0.8838630806845966,0.012224938875305624,rescue_harm,latent_only,0.8973105134474327,0.0,15,"thr=0.5000,cap=0.0000"
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.32885085574572126,0.9193154034229829,0.044009779951100246,0.8973105134474327,0.0,0.8838630806845966,0.012224938875305624,knn_gain,context_latent,0.8838630806845966,0.02689486552567237,25,tuned_threshold
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.32885085574572126,0.9193154034229829,0.044009779951100246,0.8973105134474327,0.0,0.8838630806845966,0.012224938875305624,rescue_harm,context_latent,0.8838630806845966,0.02689486552567237,25,"thr=0.3600,cap=0.1600"
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.06218905472636816,0.8629353233830845,0.13681592039800994,0.8618905472636816,0.06467661691542288,knn_gain,uncertainty,0.8421890547263682,0.3034825870646766,15,gain_threshold
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.06218905472636816,0.8629353233830845,0.13681592039800994,0.8618905472636816,0.06467661691542288,rescue_harm,uncertainty,0.8595522388059703,0.18159203980099503,200,"thr=0.0250,cap=0.1600"
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.06218905472636816,0.8629353233830845,0.13681592039800994,0.8618905472636816,0.06467661691542288,knn_gain,margin,0.8467164179104479,0.20149253731343283,15,gain_threshold
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.06218905472636816,0.8629353233830845,0.13681592039800994,0.8618905472636816,0.06467661691542288,rescue_harm,margin,0.8530348258706468,0.25870646766169153,25,"thr=0.0200,cap=0.2000"
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.06218905472636816,0.8629353233830845,0.13681592039800994,0.8618905472636816,0.06467661691542288,knn_gain,context,0.8662189054726369,0.09701492537313433,15,gain_threshold
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.06218905472636816,0.8629353233830845,0.13681592039800994,0.8618905472636816,0.06467661691542288,rescue_harm,context,0.8709452736318408,0.10945273631840796,25,"thr=0.0400,cap=0.2000"
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.06218905472636816,0.8629353233830845,0.13681592039800994,0.8618905472636816,0.06467661691542288,knn_gain,latent_only,0.8623880597014927,0.4129353233830846,15,gain_threshold
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.06218905472636816,0.8629353233830845,0.13681592039800994,0.8618905472636816,0.06467661691542288,rescue_harm,latent_only,0.846268656716418,0.3482587064676617,50,"thr=0.0400,cap=0.0600"
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.06218905472636816,0.8629353233830845,0.13681592039800994,0.8618905472636816,0.06467661691542288,knn_gain,context_latent,0.8659203980099504,0.236318407960199,15,gain_threshold
0.02,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8207960199004974,0.914179104477612,0.06218905472636816,0.8629353233830845,0.13681592039800994,0.8618905472636816,0.06467661691542288,rescue_harm,context_latent,0.8686069651741295,0.2263681592039801,15,"thr=0.0200,cap=0.2000"
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358209,0.06218905472636816,0.8681592039800995,0.09950248756218906,0.8599502487562188,0.06467661691542288,knn_gain,uncertainty,0.833084577114428,0.3034825870646766,15,gain_threshold
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358209,0.06218905472636816,0.8681592039800995,0.09950248756218906,0.8599502487562188,0.06467661691542288,rescue_harm,uncertainty,0.8660447761194029,0.09203980099502487,200,"thr=0.0500,cap=0.1600"
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358209,0.06218905472636816,0.8681592039800995,0.09950248756218906,0.8599502487562188,0.06467661691542288,knn_gain,margin,0.8406716417910447,0.20149253731343283,15,gain_threshold
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358209,0.06218905472636816,0.8681592039800995,0.09950248756218906,0.8599502487562188,0.06467661691542288,rescue_harm,margin,0.8629353233830845,0.1044776119402985,50,"thr=0.1200,cap=0.2000"
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358209,0.06218905472636816,0.8681592039800995,0.09950248756218906,0.8599502487562188,0.06467661691542288,knn_gain,context,0.8633084577114428,0.09701492537313433,15,gain_threshold
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358209,0.06218905472636816,0.8681592039800995,0.09950248756218906,0.8599502487562188,0.06467661691542288,rescue_harm,context,0.8664179104477612,0.0845771144278607,25,"thr=0.0400,cap=0.2000"
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358209,0.06218905472636816,0.8681592039800995,0.09950248756218906,0.8599502487562188,0.06467661691542288,knn_gain,latent_only,0.8628109452736318,0.2562189054726368,15,tuned_threshold
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358209,0.06218905472636816,0.8681592039800995,0.09950248756218906,0.8599502487562188,0.06467661691542288,rescue_harm,latent_only,0.8544776119402985,0.22388059701492538,25,"thr=0.1200,cap=0.0800"
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358209,0.06218905472636816,0.8681592039800995,0.09950248756218906,0.8599502487562188,0.06467661691542288,knn_gain,context_latent,0.8667910447761193,0.12686567164179105,15,tuned_threshold
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358209,0.06218905472636816,0.8681592039800995,0.09950248756218906,0.8599502487562188,0.06467661691542288,rescue_harm,context_latent,0.8635572139303483,0.1417910447761194,25,"thr=0.0800,cap=0.3500"
