heldout,run,method,error,compute,selected,utility,delta_utility,threshold,calib_delta,calib_selected,inner_min_delta,inner_mean_delta,inner_median_threshold,inner_conservative_threshold
P005,cheap10_exp20,sample RF,2.021364688873291,1.6620338983050846,0.2206779661016949,-2.0878460448054943,-0.014854873922315548,0.5776099050045014,0.015931002172705266,0.4301369863013699,,,,
P005,cheap10_exp20,sample RF + fallback,2.0329911708831787,1.0,0.0,-2.0729911708831787,0.0,0.5776099050045014,0.015931002172705266,0.4301369863013699,,,,
P005,cheap10_exp20,trajectory-aware RF median,2.0305514335632324,1.1820338983050847,0.060677966101694916,-2.0778327894954356,-0.004841618612256848,0.6579938387870788,,,0.00011625310106211373,0.013548142079301639,0.6579938387870788,0.7733117938041687
P005,cheap10_exp20,trajectory-aware RF conservative,2.0329911708831787,1.0,0.0,-2.0729911708831787,0.0,0.7733117938041687,,,0.00011625310106211373,0.013548142079301639,0.6579938387870788,0.7733117938041687
P005,cheap10_exp20,trajectory-aware RF safe fallback,2.0329911708831787,1.0,0.0,-2.0729911708831787,0.0,0.7733117938041687,,,0.00011625310106211373,0.013548142079301639,0.6579938387870788,0.7733117938041687
P005,cheap5_exp20,cheap-only,2.0382955074310303,1.0,0.0,-2.0782955074310303,0.0,,,,,,,
P005,cheap5_exp20,all-expensive,2.027874231338501,4.0,1.0,-2.187874231338501,-0.10957872390747081,,,,,,,
P005,cheap5_exp20,oracle upper bound,1.991397500038147,1.6589830508474577,0.21966101694915255,-2.0577568220720455,0.020538685358984843,,,,,,,
P005,cheap5_exp20,sample RF,2.027874231338501,4.0,1.0,-2.187874231338501,-0.10957872390747081,0.4369486033916473,0.11871140874948516,0.849706457925636,,,,
P005,cheap5_exp20,sample RF + fallback,2.027874231338501,4.0,1.0,-2.187874231338501,-0.10957872390747081,0.4369486033916473,0.11871140874948516,0.849706457925636,,,,
P005,cheap5_exp20,trajectory-aware RF median,2.027874231338501,4.0,1.0,-2.187874231338501,-0.10957872390747081,0.4062735438346863,,,0.09951602466433651,0.11662697087733376,0.4062735438346863,0.47830252528190614
P005,cheap5_exp20,trajectory-aware RF conservative,2.0276026725769043,3.9816949152542374,0.9938983050847457,-2.186870469187074,-0.10857496175604364,0.47830252528190614,,,0.09951602466433651,0.11662697087733376,0.4062735438346863,0.47830252528190614
P005,cheap5_exp20,trajectory-aware RF safe fallback,2.0382955074310303,1.0,0.0,-2.0782955074310303,0.0,0.47830252528190614,,,0.09951602466433651,0.11662697087733376,0.4062735438346863,0.47830252528190614
