lambda,variant,variant_label,method,utility,top1,relative_latency,select_Tiny,select_Small,select_Medium,select_Full,n
0.1,block3_h36_seed13,"3-block, H=36",fixed_Full,0.7288508557457215,0.8288508557457213,1.0,0.0,0.0,0.0,1.0,409
0.1,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,0.9394884523592535,0.9584352078239609,0.18946755464707138,0.9364303178484108,0.05134474327628362,0.012224938875305624,0.0,409
0.1,block3_h48_seed10,"3-block, H=48",fixed_Tiny,0.8495279645518633,0.8681592039800995,0.18631239428236,1.0,0.0,0.0,0.0,402
0.1,block3_h48_seed10,"3-block, H=48",fixed_Small,0.8331319389521614,0.8532338308457711,0.2010189189360956,0.0,1.0,0.0,0.0,402
0.1,block3_h48_seed10,"3-block, H=48",fixed_Medium,0.8448208662574214,0.8830845771144279,0.382637108570064,0.0,0.0,1.0,0.0,402
0.1,block3_h48_seed10,"3-block, H=48",fixed_Full,0.7407960199004977,0.8407960199004975,1.0,0.0,0.0,0.0,1.0,402
0.1,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,0.9326164037794266,0.9527363184079602,0.20119914628533558,0.9154228855721394,0.03482587064676617,0.04228855721393035,0.007462686567164179,402
0.1,block3_h72_seed14,"3-block, H=72",fixed_Tiny,0.7973493901117155,0.8159806295399515,0.18631239428236,1.0,0.0,0.0,0.0,413
0.1,block3_h72_seed14,"3-block, H=72",fixed_Small,0.7111329749344776,0.7312348668280871,0.2010189189360956,0.0,1.0,0.0,0.0,413
0.1,block3_h72_seed14,"3-block, H=72",fixed_Medium,0.804351301249531,0.8426150121065376,0.382637108570064,0.0,0.0,1.0,0.0,413
0.1,block3_h72_seed14,"3-block, H=72",fixed_Full,0.7184019370460051,0.8184019370460048,1.0,0.0,0.0,0.0,1.0,413
0.1,block3_h72_seed14,"3-block, H=72",oracle_multicapacity,0.9208120824823627,0.9418886198547215,0.2107653737235873,0.87409200968523,0.05084745762711865,0.06053268765133172,0.014527845036319613,413
0.15,block2_h72_seed11,"2-block, H=72",fixed_Tiny,0.9251781408576462,0.953125,0.18631239428236,1.0,0.0,0.0,0.0,416
0.15,block2_h72_seed11,"2-block, H=72",fixed_Small,0.898933700621124,0.9290865384615384,0.2010189189360956,0.0,1.0,0.0,0.0,416
0.15,block2_h72_seed11,"2-block, H=72",fixed_Medium,0.8981332798683367,0.9555288461538461,0.382637108570064,0.0,0.0,1.0,0.0,416
0.15,block2_h72_seed11,"2-block, H=72",fixed_Full,0.8247596153846152,0.9747596153846154,1.0,0.0,0.0,0.0,1.0,416
0.15,block2_h72_seed11,"2-block, H=72",oracle_multicapacity,0.9549448781521329,0.984375,0.19620081231911496,0.96875,0.01201923076923077,0.009615384615384616,0.009615384615384616,416
0.15,block2_v18_seed12,"2-block, V=1.8",fixed_Tiny,0.9669769987256664,0.9949238578680203,0.18631239428236,1.0,0.0,0.0,0.0,394
0.15,block2_v18_seed12,"2-block, V=1.8",fixed_Small,0.9571568068296363,0.9873096446700508,0.2010189189360956,0.0,1.0,0.0,0.0,394
0.15,block2_v18_seed12,"2-block, V=1.8",fixed_Medium,0.9222998651865718,0.9796954314720813,0.382637108570064,0.0,0.0,1.0,0.0,394
0.15,block2_v18_seed12,"2-block, V=1.8",fixed_Full,0.8449238578680199,0.9949238578680203,1.0,0.0,0.0,0.0,1.0,394
0.15,block2_v18_seed12,"2-block, V=1.8",oracle_multicapacity,0.9719727990154093,1.0,0.18684800656393724,0.9949238578680203,0.0025380710659898475,0.0025380710659898475,0.0,394
0.15,block3_h36_seed13,"3-block, H=36",fixed_Tiny,0.8669186665300177,0.8948655256723717,0.18631239428236,1.0,0.0,0.0,0.0,409
0.15,block3_h36_seed13,"3-block, H=36",fixed_Small,0.8671576756070184,0.8973105134474327,0.2010189189360956,0.0,1.0,0.0,0.0,409
0.15,block3_h36_seed13,"3-block, H=36",fixed_Medium,0.8056851183110677,0.863080684596577,0.382637108570064,0.0,0.0,1.0,0.0,409
0.15,block3_h36_seed13,"3-block, H=36",fixed_Full,0.6788508557457211,0.8288508557457213,1.0,0.0,0.0,0.0,1.0,409
0.15,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,0.9300150746269004,0.9584352078239609,0.18946755464707138,0.9364303178484108,0.05134474327628362,0.012224938875305624,0.0,409
0.15,block3_h48_seed10,"3-block, H=48",fixed_Tiny,0.8402123448377457,0.8681592039800995,0.18631239428236,1.0,0.0,0.0,0.0,402
0.15,block3_h48_seed10,"3-block, H=48",fixed_Small,0.8230809930053568,0.8532338308457711,0.2010189189360956,0.0,1.0,0.0,0.0,402
0.15,block3_h48_seed10,"3-block, H=48",fixed_Medium,0.8256890108289185,0.8830845771144279,0.382637108570064,0.0,0.0,1.0,0.0,402
0.15,block3_h48_seed10,"3-block, H=48",fixed_Full,0.6907960199004973,0.8407960199004975,1.0,0.0,0.0,0.0,1.0,402
0.15,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,0.9225564464651599,0.9527363184079602,0.20119914628533558,0.9154228855721394,0.03482587064676617,0.04228855721393035,0.007462686567164179,402
0.15,block3_h72_seed14,"3-block, H=72",fixed_Tiny,0.7880337703975976,0.8159806295399515,0.18631239428236,1.0,0.0,0.0,0.0,413
0.15,block3_h72_seed14,"3-block, H=72",fixed_Small,0.7010820289876728,0.7312348668280871,0.2010189189360956,0.0,1.0,0.0,0.0,413
0.15,block3_h72_seed14,"3-block, H=72",fixed_Medium,0.7852194458210281,0.8426150121065376,0.382637108570064,0.0,0.0,1.0,0.0,413
0.15,block3_h72_seed14,"3-block, H=72",fixed_Full,0.6684019370460046,0.8184019370460048,1.0,0.0,0.0,0.0,1.0,413
0.15,block3_h72_seed14,"3-block, H=72",oracle_multicapacity,0.9102738137961836,0.9418886198547215,0.2107653737235873,0.87409200968523,0.05084745762711865,0.06053268765133172,0.014527845036319613,413
0.2,block2_h72_seed11,"2-block, H=72",fixed_Tiny,0.9158625211435277,0.953125,0.18631239428236,1.0,0.0,0.0,0.0,416
0.2,block2_h72_seed11,"2-block, H=72",fixed_Small,0.888882754674319,0.9290865384615384,0.2010189189360956,0.0,1.0,0.0,0.0,416
0.2,block2_h72_seed11,"2-block, H=72",fixed_Medium,0.8790014244398333,0.9555288461538461,0.382637108570064,0.0,0.0,1.0,0.0,416
0.2,block2_h72_seed11,"2-block, H=72",fixed_Full,0.7747596153846152,0.9747596153846154,1.0,0.0,0.0,0.0,1.0,416
0.2,block2_h72_seed11,"2-block, H=72",oracle_multicapacity,0.9451348375361768,0.984375,0.19620081231911496,0.96875,0.01201923076923077,0.009615384615384616,0.009615384615384616,416
0.2,block2_v18_seed12,"2-block, V=1.8",fixed_Tiny,0.957661379011548,0.9949238578680203,0.18631239428236,1.0,0.0,0.0,0.0,394
0.2,block2_v18_seed12,"2-block, V=1.8",fixed_Small,0.9471058608828314,0.9873096446700508,0.2010189189360956,0.0,1.0,0.0,0.0,394
0.2,block2_v18_seed12,"2-block, V=1.8",fixed_Medium,0.9031680097580683,0.9796954314720813,0.382637108570064,0.0,0.0,1.0,0.0,394
0.2,block2_v18_seed12,"2-block, V=1.8",fixed_Full,0.7949238578680202,0.9949238578680203,1.0,0.0,0.0,0.0,1.0,394
0.2,block2_v18_seed12,"2-block, V=1.8",oracle_multicapacity,0.9626303986872123,1.0,0.18684800656393724,0.9949238578680203,0.0025380710659898475,0.0025380710659898475,0.0,394
0.2,block3_h36_seed13,"3-block, H=36",fixed_Tiny,0.8576030468158993,0.8948655256723717,0.18631239428236,1.0,0.0,0.0,0.0,409
0.2,block3_h36_seed13,"3-block, H=36",fixed_Small,0.8571067296602135,0.8973105134474327,0.2010189189360956,0.0,1.0,0.0,0.0,409
0.2,block3_h36_seed13,"3-block, H=36",fixed_Medium,0.7865532628825641,0.863080684596577,0.382637108570064,0.0,0.0,1.0,0.0,409
0.2,block3_h36_seed13,"3-block, H=36",fixed_Full,0.6288508557457212,0.8288508557457213,1.0,0.0,0.0,0.0,1.0,409
0.2,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,0.9205416968945463,0.9584352078239609,0.18946755464707138,0.9364303178484108,0.05134474327628362,0.012224938875305624,0.0,409
0.2,block3_h48_seed10,"3-block, H=48",fixed_Tiny,0.8308967251236271,0.8681592039800995,0.18631239428236,1.0,0.0,0.0,0.0,402
0.2,block3_h48_seed10,"3-block, H=48",fixed_Small,0.8130300470585521,0.8532338308457711,0.2010189189360956,0.0,1.0,0.0,0.0,402
0.2,block3_h48_seed10,"3-block, H=48",fixed_Medium,0.806557155400415,0.8830845771144279,0.382637108570064,0.0,0.0,1.0,0.0,402
0.2,block3_h48_seed10,"3-block, H=48",fixed_Full,0.6407960199004974,0.8407960199004975,1.0,0.0,0.0,0.0,1.0,402
0.2,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,0.9124964891508929,0.9527363184079602,0.20119914628533558,0.9154228855721394,0.03482587064676617,0.04228855721393035,0.007462686567164179,402
0.2,block3_h72_seed14,"3-block, H=72",fixed_Tiny,0.7787181506834794,0.8159806295399515,0.18631239428236,1.0,0.0,0.0,0.0,413
0.2,block3_h72_seed14,"3-block, H=72",fixed_Small,0.691031083040868,0.7312348668280871,0.2010189189360956,0.0,1.0,0.0,0.0,413
0.2,block3_h72_seed14,"3-block, H=72",fixed_Medium,0.7660875903925245,0.8426150121065376,0.382637108570064,0.0,0.0,1.0,0.0,413
0.2,block3_h72_seed14,"3-block, H=72",fixed_Full,0.6184019370460048,0.8184019370460048,1.0,0.0,0.0,0.0,1.0,413
0.2,block3_h72_seed14,"3-block, H=72",oracle_multicapacity,0.8997355451100039,0.9418886198547215,0.2107653737235873,0.87409200968523,0.05084745762711865,0.06053268765133172,0.014527845036319613,413
