lambda,heldout,variant_label,utility,top1,relative_latency,select_Tiny,select_Small,select_Medium,select_Full,method
0.2,block3_h36_seed13,"3-block, H=36",0.8571067296602135,0.8973105134474327,0.2010189189360956,0.0,1.0,0.0,0.0,fixed_Small
0.2,block3_h36_seed13,"3-block, H=36",0.7865532628825641,0.863080684596577,0.38263710857006406,0.0,0.0,1.0,0.0,fixed_Medium
0.2,block3_h36_seed13,"3-block, H=36",0.6288508557457212,0.8288508557457213,1.0,0.0,0.0,0.0,1.0,fixed_Full
0.2,block3_h36_seed13,"3-block, H=36",0.9205416968945463,0.9584352078239609,0.18946755464707138,0.9364303178484108,0.05134474327628362,0.012224938875305624,0.0,oracle_multicapacity
0.2,block3_h36_seed13,"3-block, H=36",0.8390861161995662,0.8850855745721271,0.22999729186280443,0.3545232273838631,0.4572127139364303,0.1882640586797066,0.0,ridge_expected_utility
0.2,block3_h36_seed13,"3-block, H=36",0.8515408674062568,0.8948655256723717,0.21662329133057306,0.7506112469437652,0.10268948655256724,0.1466992665036675,0.0,rf_expected_utility
0.2,block3_h36_seed13,"3-block, H=36",0.8443127513265521,0.8948655256723717,0.2527638717290966,0.7506112469437652,0.03667481662591687,0.17359413202933985,0.039119804400977995,logreg_oracle_label
0.2,block3_h36_seed13,"3-block, H=36",0.8514988290796178,0.8973105134474327,0.2290584218390739,0.726161369193154,0.1271393643031785,0.1271393643031785,0.019559902200488997,rf_oracle_label
0.3,block3_h36_seed13,"3-block, H=36",0.8389718073876636,0.8948655256723717,0.18631239428236,1.0,0.0,0.0,0.0,fixed_Tiny
0.3,block3_h36_seed13,"3-block, H=36",0.8370048377666042,0.8973105134474327,0.2010189189360956,0.0,1.0,0.0,0.0,fixed_Small
0.3,block3_h36_seed13,"3-block, H=36",0.7482895520255578,0.863080684596577,0.38263710857006406,0.0,0.0,1.0,0.0,fixed_Medium
0.3,block3_h36_seed13,"3-block, H=36",0.5288508557457213,0.8288508557457213,1.0,0.0,0.0,0.0,1.0,fixed_Full
0.3,block3_h36_seed13,"3-block, H=36",0.9015949414298395,0.9584352078239609,0.18946755464707138,0.9364303178484108,0.05134474327628362,0.012224938875305624,0.0,oracle_multicapacity
0.3,block3_h36_seed13,"3-block, H=36",0.8297945091953093,0.8973105134474327,0.22505334750707828,0.38875305623471884,0.4474327628361858,0.16381418092909536,0.0,ridge_expected_utility
0.3,block3_h36_seed13,"3-block, H=36",0.8304437649229531,0.8948655256723717,0.21473920249806186,0.7579462102689487,0.10513447432762836,0.13691931540342298,0.0,rf_expected_utility
0.3,block3_h36_seed13,"3-block, H=36",0.8190363641536427,0.8948655256723717,0.2527638717290966,0.7506112469437652,0.03667481662591687,0.17359413202933985,0.039119804400977995,logreg_oracle_label
0.3,block3_h36_seed13,"3-block, H=36",0.8285929868957107,0.8973105134474327,0.2290584218390739,0.726161369193154,0.1271393643031785,0.1271393643031785,0.019559902200488997,rf_oracle_label
0.0,block3_h48_seed10,"3-block, H=48",0.8681592039800995,0.8681592039800995,0.18631239428236002,1.0,0.0,0.0,0.0,fixed_Tiny
0.0,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.8532338308457711,0.20101891893609564,0.0,1.0,0.0,0.0,fixed_Small
0.0,block3_h48_seed10,"3-block, H=48",0.8830845771144279,0.8830845771144279,0.382637108570064,0.0,0.0,1.0,0.0,fixed_Medium
0.0,block3_h48_seed10,"3-block, H=48",0.8407960199004975,0.8407960199004975,1.0,0.0,0.0,0.0,1.0,fixed_Full
0.0,block3_h48_seed10,"3-block, H=48",0.9527363184079602,0.9527363184079602,0.20119914628533558,0.9154228855721394,0.03482587064676617,0.04228855721393035,0.007462686567164179,oracle_multicapacity
0.0,block3_h48_seed10,"3-block, H=48",0.917910447761194,0.917910447761194,0.2792132547413341,0.6666666666666666,0.07711442786069651,0.1890547263681592,0.06716417910447761,ridge_expected_utility
0.0,block3_h48_seed10,"3-block, H=48",0.8855721393034826,0.8855721393034826,0.2291144066504745,0.7189054726368159,0.1865671641791045,0.05970149253731343,0.03482587064676617,rf_expected_utility
0.0,block3_h48_seed10,"3-block, H=48",0.8781094527363185,0.8781094527363185,0.19268145299673153,0.7512437810945274,0.23383084577114427,0.014925373134328358,0.0,logreg_oracle_label
0.0,block3_h48_seed10,"3-block, H=48",0.8805970149253731,0.8805970149253731,0.19538962423320708,0.763681592039801,0.21393034825870647,0.01990049751243781,0.0024875621890547263,rf_oracle_label
