variant,variant_label,lambda,feature,std,corr_gain,corr_route,auc_route,mean_route1,mean_route0,n,route_rate
block2_v18_seed12,"2-block, V=1.8",0.05,npz_anchor_blocked,0.49873580809055723,0.07274416123331108,0.10874602094604989,0.7705128205128206,1.0,0.45897435897435895,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,npz_candidate_blocked_mean,0.1769528943294989,-0.051564450967832395,-0.06754555568281338,0.3019230769230769,0.3500000052154064,0.46923078164840354,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,npz_candidate_blocked_std,0.04032820699168255,-0.008176826414012921,0.006589339280643736,0.6512820512820513,0.4674234837293625,0.46477263646248057,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,npz_blocked_mismatch_frac,0.11520158903911779,0.016816019876751537,0.01048674864660274,0.5189102564102565,0.65,0.6379487179487179,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,npz_state_dist_min,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,npz_state_dist_mean,0.010358993588982622,0.05264679011906198,0.06417172192918089,0.6955128205128205,0.04549682978540659,0.03886558316552486,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,npz_state_dist_max,0.026569892780636543,0.05566835044501642,0.06115718188918513,0.6772435897435898,0.13286536931991577,0.11665581069313563,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,npz_state_dist_std,0.011920107207401288,0.052352117916557174,0.059912816783948476,0.6801282051282052,0.05739864520728588,0.0502744826201636,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,npz_same_state_neg_frac,5.551115123125783e-17,,,0.5,0.4,0.4,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,npz_same_action_neg_frac,5.551115123125783e-17,,,0.5,0.4,0.4,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,action_1_x_blocked,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,action_1_x_horizon,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,action_2_x_blocked,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,action_2_x_horizon,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,action_3_x_blocked,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,action_3_x_horizon,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,action_4_x_blocked,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block2_v18_seed12,"2-block, V=1.8",0.05,action_4_x_horizon,0.0,,,0.5,0.0,0.0,394,0.01015228426395939
block3_h36_seed13,"3-block, H=36",0.05,cheap_confidence,0.16485664018331178,0.10230121361579564,-0.3594671906992784,0.09434498437055981,0.6057432277335061,0.8946544282576617,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,cheap_uncertainty,0.16485664018331178,-0.10230121361579562,0.3594671906992784,0.9056550156294402,0.3942567722664939,0.10534557174233829,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,cheap_best_distance,0.22051514477998077,-0.03455834513634824,0.011435616762418228,0.5170502983802217,1.8955185148451064,1.8832244162669267,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,cheap_second_best_distance,0.2140143852599854,0.0013568198448627227,-0.0637532224457824,0.41687979539641945,1.909516990184784,1.9760356949418403,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,cheap_pred_margin,0.06597871807317833,0.11990256369229453,-0.24501587584894263,0.08581983518044899,0.013998475339677562,0.09281127867491346,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,action_1,0.4283266891146142,-0.09116767676089856,0.01789503998095064,0.5186842853083262,0.2777777777777778,0.24040920716112532,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,action_2,0.4553194854566173,0.0167482096878057,0.12353588572018567,0.6371128161409492,0.5555555555555556,0.2813299232736573,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,action_3,0.4253435545815674,-0.005302805717900101,-0.06358580602118559,0.43407217959647626,0.1111111111111111,0.24296675191815856,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,action_4,0.419142507855251,0.08035280728156044,-0.08795912059318892,0.41013071895424835,0.05555555555555555,0.23529411764705882,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,horizon_norm,0.0,,,0.5,0.0,0.0,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,velocity_norm,0.0,,,0.5,0.0,0.0,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,blocked_norm,0.0,,,0.5,1.0,1.0,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,blocked_x_horizon,0.0,,,0.5,0.0,0.0,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,blocked_x_velocity,0.0,,,0.5,0.0,0.0,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,complexity_score,0.0,,,0.5,1.0,1.0,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,uncertainty_x_blocked,0.16485664018331178,-0.10230121361579562,0.3594671906992784,0.9056550156294402,0.3942567722664939,0.10534557174233829,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,uncertainty_x_horizon,0.0,,,0.5,0.0,0.0,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,uncertainty_x_velocity,0.0,,,0.5,0.0,0.0,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,margin_x_blocked,0.06597871807317833,0.11990256369229453,-0.24501587584894263,0.08581983518044899,0.013998475339677562,0.09281127867491346,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,best_dist_x_blocked,0.22051514477998077,-0.03455834513634824,0.011435616762418228,0.5170502983802217,1.8955185148451064,1.8832244162669267,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,second_dist_x_blocked,0.2140143852599854,0.0013568198448627227,-0.0637532224457824,0.41687979539641945,1.909516990184784,1.9760356949418403,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,npz_anchor_blocked,0.4253435545815674,-0.09797564850214917,0.11963450141486012,0.6240409207161125,1.0,0.7519181585677749,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,npz_candidate_blocked_mean,0.18973987751522933,0.036292966319220424,-0.15919186322306336,0.2774936061381074,0.3555555608537462,0.5028133101932838,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,npz_candidate_blocked_std,0.06516427426941625,-0.034141581345698724,-0.009993053781932621,0.4933219664677465,0.4549376583761639,0.458112385952869,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,npz_blocked_mismatch_frac,0.16068016190622364,0.06355932698291954,0.05804165379422105,0.581486217675476,0.6444444444444444,0.5989769820971866,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,npz_state_dist_min,0.0,,,0.5,0.0,0.0,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,npz_state_dist_mean,0.01083824238856763,0.07672837937638192,-0.03561589202613041,0.44288150042625746,0.03721470478922129,0.039096625675411556,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,npz_state_dist_max,0.02734646193606691,0.09605689408041361,0.014255131326610342,0.5213128729752771,0.11867618271046215,0.11677566883356674,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,npz_state_dist_std,0.01256496069294115,0.08728661799615417,-0.008380125341208468,0.47726626882637113,0.04991918160683579,0.05043252777603581,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,npz_same_state_neg_frac,5.551115123125783e-17,,,0.5,0.4000000000000001,0.39999999999999997,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,npz_same_action_neg_frac,5.551115123125783e-17,,,0.5,0.4000000000000001,0.39999999999999997,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,action_1_x_blocked,0.4283266891146142,-0.09116767676089856,0.01789503998095064,0.5186842853083262,0.2777777777777778,0.24040920716112532,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,action_1_x_horizon,0.0,,,0.5,0.0,0.0,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,action_2_x_blocked,0.4553194854566173,0.0167482096878057,0.12353588572018567,0.6371128161409492,0.5555555555555556,0.2813299232736573,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,action_2_x_horizon,0.0,,,0.5,0.0,0.0,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,action_3_x_blocked,0.4253435545815674,-0.005302805717900101,-0.06358580602118559,0.43407217959647626,0.1111111111111111,0.24296675191815856,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,action_3_x_horizon,0.0,,,0.5,0.0,0.0,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,action_4_x_blocked,0.419142507855251,0.08035280728156044,-0.08795912059318892,0.41013071895424835,0.05555555555555555,0.23529411764705882,409,0.044009779951100246
block3_h36_seed13,"3-block, H=36",0.05,action_4_x_horizon,0.0,,,0.5,0.0,0.0,409,0.044009779951100246
block3_h48_seed10,"3-block, H=48",0.05,cheap_confidence,0.1446660939608403,-0.16409091277742477,-0.3907941379573126,0.12021220159151194,0.6822447836399078,0.9163441130748162,402,0.06218905472636816
block3_h48_seed10,"3-block, H=48",0.05,cheap_uncertainty,0.1446660939608403,0.16409091277742477,0.3907941379573126,0.8797877984084881,0.3177552163600922,0.0836558869251838,402,0.06218905472636816
block3_h48_seed10,"3-block, H=48",0.05,cheap_best_distance,0.22220830227006813,-0.049036093538815634,0.02607264492063228,0.5128912466843502,1.9089629030227662,1.8849728755672668,402,0.06218905472636816
block3_h48_seed10,"3-block, H=48",0.05,cheap_second_best_distance,0.21588660412363034,-0.0715531168196613,-0.05604237321994239,0.40657824933687003,1.9332935619354248,1.9833923922925791,402,0.06218905472636816
block3_h48_seed10,"3-block, H=48",0.05,cheap_pred_margin,0.06740366167336198,-0.06752055001843117,-0.26545079838084734,0.11002652519893899,0.024330658912658638,0.09841951672531246,402,0.06218905472636816
block3_h48_seed10,"3-block, H=48",0.05,action_1,0.39545197908930657,0.08457207293253467,0.13412503847934426,0.609814323607427,0.4,0.18037135278514588,402,0.06218905472636816
