lambda,heldout,variant_label,method,utility,ci95_low,ci95_high,delta_vs_fixed,delta_ci95_low,delta_ci95_high,stable_positive_vs_fixed,oracle_gap,n
0.1,block3_h48_seed10,"3-block, H=48",logreg_oracle_label,0.8588413074366451,0.8265079039344307,0.8888971895760579,0.009313342884781743,-0.01557346890565075,0.03188257449525876,False,0.07377509634278145,402
0.1,block3_h48_seed10,"3-block, H=48",rf_oracle_label,0.8610580525020521,0.8286594747399054,0.8911755935592125,0.011530087950188917,-0.011073013776420632,0.03608487822584759,False,0.07155835127737442,402
0.15,block3_h48_seed10,"3-block, H=48",best_fixed_Tiny,0.8402123448377457,0.8053864741909794,0.872550653295457,0.0,0.0,0.0,False,0.08234410162741423,402
0.15,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,0.9225564464651599,0.9008091568034678,0.9424514564683987,0.08234410162741423,,,True,0.0,402
0.15,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,0.8842714313535932,0.8567786968675237,0.9115786455967667,0.04405908651584765,0.024790402924296382,0.06577052261292385,True,0.03828501511156668,402
0.15,block3_h48_seed10,"3-block, H=48",rf_expected_utility,0.8511946353289862,0.8183735825512991,0.8834668220582507,0.01098229049124065,-0.009331722241706752,0.03302629715296047,False,0.07136181113617368,402
0.15,block3_h48_seed10,"3-block, H=48",logreg_oracle_label,0.8492072347868087,0.8165722867823212,0.8815683164076965,0.00899488994906316,-0.015769290315373694,0.03398985964988632,False,0.07334921167835118,402
0.15,block3_h48_seed10,"3-block, H=48",rf_oracle_label,0.8512885712903921,0.8166542453589333,0.8815329754349381,0.011076226452646557,-0.011502232895221901,0.03381231084043984,False,0.07126787517476774,402
0.2,block3_h48_seed10,"3-block, H=48",best_fixed_Tiny,0.8308967251236271,0.796070854476861,0.8632350335813386,0.0,0.0,0.0,False,0.08159976402726576,402
0.2,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,0.9124964891508929,0.8914036829991072,0.9319341700446354,0.08159976402726576,,,True,0.0,402
0.2,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,0.8626902974534433,0.832465497003989,0.8920718250093391,0.031793572329816056,0.01486882402549873,0.050793785588480155,True,0.0498061916974496,402
