state_id,side,mean_future_xy_spread,max_future_xy_spread,contact_action_count,moving_contact_action_count,strong_displacement_action_count,rotation_action_count,nondegenerate,contact_mode_nontrivial
338,back,0.016744436323642732,0.04186109080910683,1,1,0,1,1,1
339,front,0.028433910012245177,0.07108477503061295,1,1,1,1,1,1
340,left,0.08182932138442993,0.20457330346107483,1,1,1,0,1,1
341,right,0.06712138652801514,0.16780346632003784,1,1,1,0,1,1
342,back,0.06649393439292908,0.1662348359823227,1,1,1,0,1,1
343,front,0.029274752736091612,0.07318688184022903,1,1,1,1,1,1
344,left,0.07498677968978881,0.18746694922447205,1,1,1,0,1,1
345,right,0.0018775684759020806,0.004693921189755201,1,1,0,0,0,1
346,back,0.04387232065200806,0.10968080163002014,1,1,1,0,1,1
347,front,0.08236039876937866,0.20590099692344666,1,1,1,0,1,1
348,left,0.055263411998748777,0.13815852999687195,1,1,1,0,1,1
349,right,0.04133518040180206,0.10333795100450516,1,1,1,1,1,1
350,back,0.015101893246173859,0.03775473311543465,1,1,0,1,1,1
351,front,0.030706426501274107,0.07676606625318527,1,1,1,1,1,1
352,left,0.010921700298786164,0.02730425074696541,1,1,0,1,1,1
353,right,0.041378214955329895,0.10344553738832474,1,1,1,1,1,1
354,back,0.034270909428596494,0.08567727357149124,1,1,1,1,1,1
355,front,0.05792428851127625,0.1448107212781906,1,1,1,0,1,1
356,left,0.06285295486450196,0.15713238716125488,1,1,1,0,1,1
357,right,0.0,0.0,0,0,0,0,0,0
358,back,0.019910338521003722,0.04977584630250931,1,1,0,0,1,1
359,front,0.051118260622024535,0.12779565155506134,1,1,1,1,1,1
360,left,0.07075236439704895,0.17688091099262238,1,1,1,1,1,1
361,right,0.010029900819063187,0.025074752047657967,1,1,0,1,1,1
362,back,0.08748858571052551,0.21872146427631378,1,1,1,0,1,1
363,front,0.0,0.0,0,0,0,0,0,0
364,left,0.03297857940196991,0.08244644850492477,1,1,1,1,1,1
365,right,0.036615732312202456,0.09153933078050613,1,1,1,1,1,1
366,back,0.06015801429748535,0.15039503574371338,1,1,1,1,1,1
367,front,0.02070908099412918,0.05177270248532295,1,1,0,0,1,1
368,left,0.0581569492816925,0.14539237320423126,1,1,1,0,1,1
369,right,0.0,0.0,0,0,0,0,0,0
370,back,0.045568084716796874,0.11392021179199219,1,1,1,1,1,1
371,front,0.04836868941783905,0.12092172354459763,1,1,1,0,1,1
372,left,0.020007228851318358,0.0500180721282959,1,1,0,1,1,1
373,right,0.06492266058921814,0.16230665147304535,1,1,1,0,1,1
374,back,0.06516318917274475,0.16290797293186188,1,1,1,0,1,1
375,front,0.03811086118221283,0.09527715295553207,1,1,1,1,1,1
